,year,size_acres
838,2005,0.1
839,2005,0.25
840,2005,0.1
841,2005,0.1
842,2005,0.8
843,2005,0.1
844,2005,1.0
845,2005,1.0
846,2005,5.0
847,2005,2.0
848,2005,5.0
849,2005,25.0
850,2005,8.0
851,2005,0.1
852,2005,0.1
853,2005,0.1
854,2005,1.0
855,2005,0.3
856,2005,0.1
857,2005,0.1
858,2005,0.3
859,2005,0.1
860,2005,6.0
861,2005,4.0
862,2005,0.1
863,2005,0.1
864,2005,0.7
865,2005,0.1
866,2005,0.1
867,2005,0.2
868,2005,0.3
869,2005,0.2
870,2005,0.1
871,2005,0.1
872,2005,0.4
873,2005,0.1
874,2005,0.1
875,2005,0.1
876,2005,0.1
877,2005,12.0
878,2005,0.3
879,2005,0.3
880,2005,0.1
881,2005,0.3
882,2005,0.5
883,2005,0.3
884,2005,0.3
885,2005,0.1
886,2005,0.1
887,2005,0.1
888,2005,0.1
889,2005,0.1
890,2005,0.1
891,2005,6.5
892,2005,0.1
893,2005,0.3
894,2005,0.1
895,2005,0.5
896,2005,0.1
897,2005,0.1
898,2005,0.1
899,2005,438.0
900,2005,0.2
901,2005,0.1
902,2005,0.1
903,2005,0.1
904,2005,0.1
905,2005,0.1
906,2005,0.1
907,2005,0.1
908,2005,0.3
909,2005,0.25
910,2005,0.1
911,2005,0.1
912,2005,0.25
913,2005,0.1
914,2006,0.1
915,2006,0.1
916,2005,0.1
917,2005,0.1
918,2005,0.1
919,2005,0.1
920,2005,0.1
921,2006,0.01
922,2005,0.01
923,2005,5.0
924,2005,0.1
925,2005,4.0
926,2005,0.1
927,2005,0.1
928,2005,0.1
929,2005,0.1
930,2005,18.0
931,2005,0.1
932,2005,2.0
933,2005,0.1
934,2005,0.1
935,2002,0.1
936,2005,0.1
937,2005,0.2
938,2005,1.5
939,2006,0.1
940,2005,0.1
941,2005,0.1
942,2005,0.1
943,2005,0.1
944,2005,0.1
945,2005,0.1
946,2005,25.0
947,2005,0.2
948,2005,1.0
949,2005,0.1
950,2005,0.1
951,2005,0.1
952,2005,0.1
953,2006,0.1
954,2006,0.1
955,2006,5.9
956,2006,0.2
957,2006,0.1
958,2005,0.1
959,2006,0.1
960,2006,0.25
961,2006,0.1
962,2006,5.5
963,2006,0.3
964,2006,1.0
965,2006,0.25
966,2006,0.1
967,2006,0.1
968,2006,3.0
969,2006,0.25
970,2006,0.1
971,2006,0.1
972,2006,0.1
973,2006,0.1
974,2006,0.1
975,2006,0.1
976,2006,0.1
977,2006,1.0
978,2006,0.1
979,2006,0.5
980,2006,0.2
981,2006,0.1
982,2006,0.1
983,2006,0.1
984,2006,0.1
985,2006,0.1
986,2006,0.5
987,2006,0.1
988,2006,0.1
989,2006,1.0
990,2006,0.1
991,2006,0.25
992,2006,0.1
993,2006,0.1
994,2006,0.1
995,2006,0.2
996,2006,0.4
997,2006,0.1
998,2006,0.25
999,2006,0.1
1000,2006,0.1
1001,2006,0.5
1002,2006,0.1
1003,2006,0.1
1004,2006,0.1
1005,2006,0.1
1006,2006,0.1
1007,2006,0.1
1008,2006,2.5
1009,2006,0.25
1010,2006,0.1
1011,2006,0.1
1012,2006,0.1
1013,2006,0.1
1014,2006,0.1
1015,2006,0.5
1016,2006,0.1
1017,2006,5.0
1018,2006,0.5
1019,2006,0.5
1020,2006,0.1
1021,2006,0.1
1022,2006,0.3
1023,2006,0.1
1024,2006,2.0
1025,2006,1.0
1026,2006,0.1
1027,2006,0.1
1028,2006,0.1
1029,2006,0.1
1030,2006,0.1
1031,2006,0.24
1032,2006,0.1
1033,2006,0.1
1034,2006,0.2
1035,2006,0.1
1036,2006,0.1
1037,2006,0.1
1038,2006,0.1
1039,2006,0.1
1040,2006,0.1
1041,2006,0.5
1042,2006,0.5
1043,2006,0.1
1044,2006,0.1
1045,2006,0.1
1046,2006,0.1
1047,2006,0.1
1048,2006,0.1
1049,2006,2.0
1050,2006,0.1
1051,2006,0.1
1052,2006,0.1
1053,2006,0.34
1054,2006,0.1
1055,2006,0.1
1056,2006,0.5
1057,2006,1.0
1058,2006,0.2
1059,2006,7.0
1060,2006,0.25
1061,2006,0.5
1062,2006,0.1
1063,2006,0.25
1064,2006,0.1
1065,2006,20.0
1066,2006,0.5
1067,2006,8.0
1068,2006,1.0
1069,2006,0.1
1070,2006,2.0
1071,2006,0.5
1072,2006,0.1
1073,2006,0.1
1074,2006,0.1
1075,2006,0.1
1076,2006,0.1
1077,2006,0.1
1078,2006,0.25
1079,2006,5.0
1080,2006,0.2
1081,2006,0.1
1082,2006,0.5
1083,2006,2.0
1084,2006,0.5
1085,2006,0.1
1086,2006,8.0
1087,2006,1.0
1088,2006,0.3
1089,2006,0.1
1090,2006,0.1
1091,2006,0.1
1092,2006,0.1
1093,2006,8.75
1094,2006,0.1
1095,2006,0.1
1096,2006,0.1
1097,2006,0.1
1098,2006,2.0
1099,2006,0.25
1100,2006,0.75
1101,2006,1.0
1102,2006,0.1
1103,2006,0.25
1104,2006,0.25
1105,2006,0.25
1106,2006,0.25
1107,2006,1.0
1108,2006,0.1
1109,2006,0.1
1110,2006,0.1
1111,2006,1.0
1112,2006,0.2
1113,2006,0.25
1114,2006,0.75
1115,2006,0.1
1116,2006,0.25
1117,2006,0.3
1118,2006,0.1
1119,2006,0.1
1120,2006,0.5
1121,2006,0.1
1122,2006,0.1
1123,2006,0.1
1124,2006,0.1
1125,2006,0.5
1126,2006,0.5
1127,2006,0.1
1128,2006,0.25
1129,2006,2.0
1130,2006,0.1
1131,2006,26.5
1132,2006,0.1
1133,2006,0.25
1134,2006,0.25
1135,2006,0.1
1136,2006,0.1
1137,2006,0.1
1138,2006,0.1
1139,2006,5.0
1140,2006,2.0
1141,2006,9.0
1142,2006,2.0
1143,2006,0.1
1144,2006,1.0
1145,2006,0.1
1146,2006,0.1
1147,2006,0.1
1148,2006,9.7
1149,2006,2.0
1150,2006,0.1
1151,2006,0.01
1152,2006,0.5
1153,2006,0.1
1154,2006,0.1
1155,2006,25.0
1156,2006,0.1
1157,2006,0.1
1158,2006,1.0
1159,2006,0.1
1160,2006,0.1
1161,2006,1.0
1162,2006,0.1
1163,2006,0.75
1164,2006,0.3
1165,2006,0.3
1166,2006,0.1
1167,2006,0.5
1168,2006,8.0
1169,2006,5.0
1170,2006,0.1
1171,2006,4.0
1172,2006,0.1
1173,2006,0.1
1174,2006,16.0
1175,2006,0.1
1176,2006,0.1
1177,2006,0.1
1178,2006,0.25
1179,2006,0.1
1180,2006,0.1
1181,2006,0.25
1182,2006,0.1
1183,2006,0.2
1184,2006,0.1
1185,2006,0.1
1186,2006,0.25
1187,2006,0.1
1188,2006,0.1
1189,2006,0.1
1190,2006,1.0
1191,2006,1.0
1192,2006,0.1
1193,2006,0.1
1194,2006,0.1
1195,2006,0.1
1196,2006,0.2
1197,2006,0.2
1198,2006,0.1
1199,2006,0.1
1200,2006,0.5
1201,2006,2.0
1202,2006,0.1
1203,2006,0.1
1204,2006,0.1
1205,2006,0.25
1206,2006,0.1
1207,2006,3.0
1208,2006,0.75
1209,2006,0.5
1210,2006,0.1
1211,2006,1.0
1212,2006,0.25
1213,2006,2.0
1214,2006,1.0
1215,2006,0.25
1216,2006,0.1
1217,2006,3.0
1218,2006,0.1
1219,2006,0.1
1220,2006,170.0
1221,2006,0.1
1222,2006,0.1
1223,2006,0.1
1224,2006,0.1
1225,2006,0.01
1226,2006,0.25
1227,2006,0.5
1228,2006,0.25
1229,2006,0.25
1230,2006,0.25
1231,2006,0.1
1232,2006,0.2
1233,2006,0.1
1234,2006,0.5
1235,2006,4.6
1236,2006,0.1
1237,2006,0.5
1238,2006,0.1
1239,2006,0.4
1240,2006,0.1
1241,2006,0.1
1242,2006,0.1
1243,2006,0.1
1244,2006,0.1
1245,2006,2.0
1246,2006,0.1
1247,2006,4.3
1248,2006,0.5
1249,2006,0.1
1250,2006,0.25
1251,2006,0.25
1252,2006,0.1
1253,2006,1.0
1254,2006,1.0
1255,2006,0.1
1256,2006,1.0
1257,2006,0.25
1258,2006,0.8
1259,2006,0.1
1260,2006,0.1
1261,2006,0.1
1262,2006,1.0
1263,2006,0.1
1264,2006,0.1
1265,2006,0.2
1266,2006,0.1
1267,2006,0.1
1268,2006,160.0
1269,2006,35.0
1270,2006,0.1
1271,2006,0.01
1272,2006,0.1
1273,2006,0.25
1274,2006,0.1
1275,2006,0.25
1276,2006,0.25
1277,2006,0.1
1278,2006,0.1
1279,2006,2.0
1280,2006,0.25
1281,2006,0.25
1282,2006,0.01
1283,2006,0.01
1284,2006,0.1
1285,2006,0.2
1286,2006,0.1
1287,2006,0.1
1288,2006,0.25
1289,2006,0.2
1290,2006,0.1
1291,2006,0.1
1292,2006,0.25
1293,2006,0.5
1294,2006,5.0
1295,2006,0.1
1296,2006,3747.1
1297,2006,0.1
1298,2006,0.1
1299,2006,1.0
1300,2006,0.25
1301,2006,0.1
1302,2006,0.1
1303,2006,0.25
1304,2006,0.1
1305,2006,0.1
1306,2006,0.1
1307,2006,0.1
1308,2006,0.1
1309,2006,0.25
1310,2006,0.1
1311,2006,0.1
1312,2006,6255.0
1313,2006,0.1
1314,2006,2.5
1315,2006,0.1
1316,2006,0.1
1317,2006,0.1
1318,2006,0.1
1319,2006,0.1
1320,2006,0.1
1321,2006,0.1
1322,2006,0.1
1323,2006,0.1
1324,2006,1.0
1325,2006,1.0
1326,2006,0.1
1327,2006,0.3
1328,2006,0.1
1329,2006,0.1
1330,2006,0.1
1331,2006,0.1
1332,2006,0.1
1333,2006,0.25
1334,2006,0.5
1335,2006,0.1
1336,2006,7.0
1337,2006,10.0
1338,2006,0.25
1339,2006,0.1
1340,2006,0.1
1341,2006,0.1
1342,2006,3.5
1343,2006,0.2
1344,2006,0.1
1345,2006,0.1
1346,2006,0.1
1347,2006,0.1
1348,2006,2.0
1349,2006,1.0
1350,2006,0.1
1351,2006,0.25
1352,2006,3.0
1353,2006,0.1
1354,2006,0.1
1355,2006,0.1
1356,2006,80.0
1357,2006,1.05
1358,2006,0.1
1359,2006,0.1
1360,2006,0.2
1361,2006,0.1
1362,2006,0.01
1363,2006,0.1
1364,2006,0.1
1365,2006,0.7
1366,2006,0.1
1367,2006,0.01
1368,2006,3.5
1369,2006,0.75
1370,2006,0.2
1371,2006,0.1
1372,2006,0.1
1373,2006,0.1
1374,2006,0.2
1375,2006,0.1
1376,2006,0.1
1377,2006,0.1
1378,2006,0.25
1379,2006,5.0
1380,2006,0.25
1381,2006,0.26
1382,2006,20.0
1383,2006,0.01
1384,2006,41.0
1385,2006,80.0
1386,2006,0.01
1387,2006,0.1
1388,2006,0.2
1389,2006,225.0
1390,2006,0.1
1391,2006,0.1
1392,2006,0.1
1393,2006,0.1
1394,2006,1.0
1395,2006,0.1
1396,2006,0.1
1397,2006,0.1
1398,2006,0.25
1399,2006,0.1
1400,2006,0.1
1401,2006,0.1
1402,2006,0.1
1403,2006,0.1
1404,2006,0.1
1405,2006,0.25
1406,2006,0.1
1407,2006,0.1
1408,2006,0.1
1409,2006,0.25
1410,2006,0.1
1411,2006,0.1
1412,2006,2.1
1413,2006,0.1
1414,2006,0.1
1415,2006,0.1
1416,2006,0.1
1417,2006,0.1
1418,2006,0.1
1419,2006,0.2
1420,2006,0.1
1421,2006,0.2
1422,2006,0.25
1423,2006,0.1
1424,2006,0.1
1425,2006,0.1
1426,2006,0.1
1427,2006,0.1
1428,2006,0.1
1429,2006,0.01
1430,2006,0.1
1431,2006,0.1
1432,2006,0.25
1433,2006,0.1
1434,2006,0.1
1435,2006,0.1
1436,2006,0.5
1437,2006,0.1
1438,2006,0.1
1439,2006,0.1
1440,2006,0.1
1441,2006,0.1
1442,2006,0.1
1443,2006,0.1
1444,2006,0.2
1445,2006,0.1
1446,2006,0.1
1447,2006,0.1
1448,2006,0.1
1449,2006,0.1
1450,2006,0.1
1451,2006,0.1
1452,2006,0.25
1453,2006,3.0
1454,2006,0.1
1455,2006,5.0
1456,2006,0.1
1457,2006,0.1
1458,2006,0.25
1459,2006,0.1
1460,2006,0.1
1461,2006,248.0
1462,2006,0.1
1463,2006,0.01
1464,2006,0.1
1465,2006,1.0
1466,2006,3.0
1467,2006,0.5
1468,2006,0.25
1469,2006,0.1
1470,2006,0.33
1471,2006,0.1
1472,2006,0.1
1473,2006,1.0
1474,2006,0.2
1475,2006,0.2
1476,2006,0.5
1477,2006,4850.0
1478,2006,0.25
1479,2006,0.2
1480,2006,3.1
1481,2006,0.2
1482,2006,0.05
1483,2006,0.1
1484,2006,0.1
1485,2006,0.5
1486,2006,0.25
1487,2006,0.1
1488,2006,0.25
1489,2006,0.1
1490,2006,0.3
1491,2006,0.25
1492,2006,0.1
1493,2006,0.1
1494,2006,0.1
