,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed,DayPlayed,DayOfWeek
195,Kryptonite,3 Doors Down,KUFX,KUFX0480,2014-06-21 03:59:29,2014-06-21,Saturday
196,Kryptonite,3 Doors Down,KUFX,KUFX0619,2014-06-20 14:59:23,2014-06-20,Friday
197,Kryptonite,3 Doors Down,KUFX,KUFX1533,2014-06-16 18:59:38,2014-06-16,Monday
198,Kryptonite,3 Doors Down,KUFX,KUFX1701,2014-06-16 03:59:30,2014-06-16,Monday
199,Kryptonite,3 Doors Down,WDVE,WDVE0072,2014-06-22 14:58:35,2014-06-22,Sunday
200,Kryptonite,3 Doors Down,WDVE,WDVE0875,2014-06-18 15:58:27,2014-06-18,Wednesday
201,Kryptonite,3 Doors Down,WDVE,WDVE1157,2014-06-16 23:58:27,2014-06-16,Monday
202,Loser,3 Doors Down,KSHE,KSHE1445,2014-06-16 02:59:44,2014-06-16,Monday
203,When I'm Gone,3 Doors Down,KSHE,KSHE0338,2014-06-21 09:59:33,2014-06-21,Saturday
204,When I'm Gone,3 Doors Down,KSHE,KSHE0929,2014-06-18 19:59:29,2014-06-18,Wednesday
205,When I'm Gone,3 Doors Down,KUFX,KUFX0414,2014-06-21 08:59:28,2014-06-21,Saturday
206,When I'm Gone,3 Doors Down,KUFX,KUFX0754,2014-06-20 02:59:13,2014-06-20,Friday
207,When I'm Gone,3 Doors Down,KUFX,KUFX0976,2014-06-19 05:59:30,2014-06-19,Thursday
208,When I'm Gone,3 Doors Down,KUFX,KUFX1081,2014-06-18 17:59:08,2014-06-18,Wednesday
209,What's Up?,4 Non Blondes,KUFX,KUFX0307,2014-06-21 18:59:32,2014-06-21,Saturday
210,What's Up?,4 Non Blondes,KUFX,KUFX1173,2014-06-18 08:59:09,2014-06-18,Wednesday
211,What's Up?,4 Non Blondes,KUFX,KUFX1718,2014-06-16 02:59:29,2014-06-16,Monday
212,Take On Me,a-ha,KUFX,KUFX1285,2014-06-17 23:59:14,2014-06-17,Tuesday
213,"Baby, Please Don't Go",AC/DC,KRFX,KRFX1299,2014-06-17 02:02:58,2014-06-17,Tuesday
214,Back In Black,AC/DC,KCFX,KCFX0217,2014-06-21 22:59:28,2014-06-21,Saturday
215,Back In Black,AC/DC,KCFX,KCFX1003,2014-06-18 09:59:21,2014-06-18,Wednesday
216,Back In Black,AC/DC,KCFX,KCFX1410,2014-06-16 03:59:19,2014-06-16,Monday
217,Back In Black,AC/DC,KGB,KGB0416,2014-06-21 09:58:41,2014-06-21,Saturday
218,Back In Black,AC/DC,KGB,KGB0615,2014-06-20 13:58:48,2014-06-20,Friday
219,Back In Black,AC/DC,KGLK,KGLK0187,2014-06-22 07:58:46,2014-06-22,Sunday
220,Back In Black,AC/DC,KGLK,KGLK0351,2014-06-21 16:58:39,2014-06-21,Saturday
221,Back In Black,AC/DC,KGLK,KGLK0752,2014-06-20 03:58:38,2014-06-20,Friday
222,Back In Black,AC/DC,KGLK,KGLK1567,2014-06-16 15:28:07,2014-06-16,Monday
223,Back In Black,AC/DC,KGON,KGON0292,2014-06-21 11:58:59,2014-06-21,Saturday
224,Back In Black,AC/DC,KGON,KGON0774,2014-06-19 15:59:14,2014-06-19,Thursday
225,Back In Black,AC/DC,KGON,KGON0929,2014-06-19 01:59:05,2014-06-19,Thursday
226,Back In Black,AC/DC,KGON,KGON1110,2014-06-18 08:58:53,2014-06-18,Wednesday
227,Back In Black,AC/DC,KGON,KGON1324,2014-06-17 05:59:20,2014-06-17,Tuesday
228,Back In Black,AC/DC,KGON,KGON1492,2014-06-16 13:59:17,2014-06-16,Monday
229,Back In Black,AC/DC,KLOS,KLOS0200,2014-06-21 20:59:14,2014-06-21,Saturday
230,Back In Black,AC/DC,KLOS,KLOS0935,2014-06-18 09:59:24,2014-06-18,Wednesday
231,Back In Black,AC/DC,KRFX,KRFX0007,2014-06-22 21:58:32,2014-06-22,Sunday
232,Back In Black,AC/DC,KRFX,KRFX0145,2014-06-22 07:58:25,2014-06-22,Sunday
233,Back In Black,AC/DC,KRFX,KRFX0434,2014-06-21 04:58:35,2014-06-21,Saturday
234,Back In Black,AC/DC,KRFX,KRFX0587,2014-06-20 13:58:34,2014-06-20,Friday
235,Back In Black,AC/DC,KRFX,KRFX0739,2014-06-19 20:58:35,2014-06-19,Thursday
236,Back In Black,AC/DC,KRFX,KRFX0989,2014-06-18 18:58:43,2014-06-18,Wednesday
237,Back In Black,AC/DC,KRFX,KRFX1320,2014-06-16 23:58:23,2014-06-16,Monday
238,Back In Black,AC/DC,KRFX,KRFX1511,2014-06-16 02:58:38,2014-06-16,Monday
239,Back In Black,AC/DC,KSEG,KSEG0321,2014-06-21 19:59:24,2014-06-21,Saturday
240,Back In Black,AC/DC,KSEG,KSEG0539,2014-06-20 23:59:02,2014-06-20,Friday
241,Back In Black,AC/DC,KSEG,KSEG0967,2014-06-19 10:59:10,2014-06-19,Thursday
242,Back In Black,AC/DC,KSHE,KSHE0201,2014-06-21 23:59:49,2014-06-21,Saturday
243,Back In Black,AC/DC,KSHE,KSHE0565,2014-06-20 10:59:28,2014-06-20,Friday
244,Back In Black,AC/DC,KSHE,KSHE0932,2014-06-18 19:59:29,2014-06-18,Wednesday
245,Back In Black,AC/DC,KSHE,KSHE1131,2014-06-17 13:00:35,2014-06-17,Tuesday
246,Back In Black,AC/DC,KSLX,KSLX0677,2014-06-16 19:59:41,2014-06-16,Monday
247,Back In Black,AC/DC,KUFX,KUFX0127,2014-06-22 11:59:11,2014-06-22,Sunday
248,Back In Black,AC/DC,KUFX,KUFX0550,2014-06-20 20:59:09,2014-06-20,Friday
249,Back In Black,AC/DC,KUFX,KUFX1188,2014-06-18 07:59:12,2014-06-18,Wednesday
250,Back In Black,AC/DC,KZEP,KZEP0805,2014-06-19 14:58:49,2014-06-19,Thursday
251,Back In Black,AC/DC,KZEP,KZEP0982,2014-06-18 19:58:32,2014-06-18,Wednesday
252,Back In Black,AC/DC,KZEP,KZEP1168,2014-06-18 00:58:31,2014-06-18,Wednesday
253,Back In Black,AC/DC,KZOK,KZOK0469,2014-06-18 23:54:22,2014-06-18,Wednesday
254,Back In Black,AC/DC,KZOK,KZOK0826,2014-06-16 23:54:35,2014-06-16,Monday
255,Back In Black,AC/DC,KZPS,KZPS0053,2014-06-22 19:58:12,2014-06-22,Sunday
256,Back In Black,AC/DC,KZPS,KZPS0233,2014-06-22 01:58:06,2014-06-22,Sunday
257,Back In Black,AC/DC,KZPS,KZPS0373,2014-06-21 11:58:11,2014-06-21,Saturday
