,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed
274,Back In Black,AC/DC,WBIG,WBIG1636,1970-01-01 00:00:01.402880299
275,Back In Black,AC/DC,WCSX,WCSX0263,1970-01-01 00:00:01.403481256
276,Back In Black,AC/DC,WCSX,WCSX0401,1970-01-01 00:00:01.403394843
277,Back In Black,AC/DC,WCSX,WCSX0615,1970-01-01 00:00:01.403308446
278,Back In Black,AC/DC,WCSX,WCSX0978,1970-01-01 00:00:01.403222065
279,Back In Black,AC/DC,WCSX,WCSX1198,1970-01-01 00:00:01.403135643
280,Back In Black,AC/DC,WCSX,WCSX1562,1970-01-01 00:00:01.403049247
281,Back In Black,AC/DC,WDVE,WDVE0615,1970-01-01 00:00:01.403215119
282,Back In Black,AC/DC,WDVE,WDVE0877,1970-01-01 00:00:01.403107107
283,Back In Black,AC/DC,WDVE,WDVE1337,1970-01-01 00:00:01.402883922
284,Back In Black,AC/DC,WLUP,WLUP0266,1970-01-01 00:00:01.403398751
285,Back In Black,AC/DC,WLUP,WLUP0605,1970-01-01 00:00:01.403287134
286,Back In Black,AC/DC,WLUP,WLUP0956,1970-01-01 00:00:01.403168343
287,Back In Black,AC/DC,WLUP,WLUP1246,1970-01-01 00:00:01.403063933
288,Back In Black,AC/DC,WLUP,WLUP1482,1970-01-01 00:00:01.402955937
289,Back In Black,AC/DC,WMGK,WMGK0761,1970-01-01 00:00:01.403222070
290,Back In Black,AC/DC,WMGK,WMGK1105,1970-01-01 00:00:01.403135648
291,Back In Black,AC/DC,WMGK,WMGK1408,1970-01-01 00:00:01.402962859
292,Back In Black,AC/DC,WNCX,WNCX0323,1970-01-01 00:00:01.403308461
293,Back In Black,AC/DC,WNCX,WNCX0800,1970-01-01 00:00:01.403135659
294,Back In Black,AC/DC,WNCX,WNCX1060,1970-01-01 00:00:01.403049263
295,Back In Black,AC/DC,WNCX,WNCX1145,1970-01-01 00:00:01.402962870
296,Back In Black,AC/DC,WOFX,WOFX0454,1970-01-01 00:00:01.403308727
297,Back In Black,AC/DC,WOFX,WOFX1115,1970-01-01 00:00:01.403002747
298,Back In Black,AC/DC,WRFX,WRFX0145,1970-01-01 00:00:01.403398728
299,Back In Black,AC/DC,WRFX,WRFX0175,1970-01-01 00:00:01.403387930
300,Back In Black,AC/DC,WRFX,WRFX0452,1970-01-01 00:00:01.403287111
301,Back In Black,AC/DC,WRFX,WRFX0721,1970-01-01 00:00:01.403186329
302,Back In Black,AC/DC,WRFX,WRFX1115,1970-01-01 00:00:01.403002722
303,Back In Black,AC/DC,WRFX,WRFX1348,1970-01-01 00:00:01.402912711
304,Back In Black,AC/DC,WRFX,WRFX1430,1970-01-01 00:00:01.402880312
305,Back In Black,AC/DC,WXGL,WXGL0253,1970-01-01 00:00:01.403398739
306,Back In Black,AC/DC,WXGL,WXGL0356,1970-01-01 00:00:01.403368090
