SongName,ArtistName,CALLSIGN,TIME,UNIQUE_ID
Dirty Deeds Done Dirt Cheap,AC/DC,KGB,1402909126,KGB1533
Dirty Deeds Done Dirt Cheap,AC/DC,KLOS,1403207960,KLOS0649
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1403416709,KRFX0177
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1403355502,KRFX0367
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1403287105,KRFX0550
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1403222315,KRFX0712
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1403107104,KRFX1027
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1402981096,KRFX1260
Dirty Deeds Done Dirt Cheap,AC/DC,KRFX,1402927122,KRFX1402
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1403463547,KSEG0065
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1403362750,KSEG0383
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1403254760,KSEG0714
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1403132346,KSEG1101
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1403006369,KSEG1408
Dirty Deeds Done Dirt Cheap,AC/DC,KSEG,1402901963,KSEG1738
Dirty Deeds Done Dirt Cheap,AC/DC,KSHE,1402923592,KSHE1354
Dirty Deeds Done Dirt Cheap,AC/DC,KSLX,1403171978,KSLX0174
Dirty Deeds Done Dirt Cheap,AC/DC,KZEP,1403452715,KZEP0085
Dirty Deeds Done Dirt Cheap,AC/DC,KZEP,1403384320,KZEP0268
Dirty Deeds Done Dirt Cheap,AC/DC,KZEP,1403204327,KZEP0769
Dirty Deeds Done Dirt Cheap,AC/DC,KZEP,1402941531,KZEP1380
Dirty Deeds Done Dirt Cheap,AC/DC,KZOK,1403135663,KZOK0585
Dirty Deeds Done Dirt Cheap,AC/DC,KZOK,1402962875,KZOK0856
Dirty Deeds Done Dirt Cheap,AC/DC,KZPS,1403387913,KZPS0269
Dirty Deeds Done Dirt Cheap,AC/DC,KZPS,1403294288,KZPS0561
Dirty Deeds Done Dirt Cheap,AC/DC,KZPS,1403143099,KZPS1002
Dirty Deeds Done Dirt Cheap,AC/DC,KZPS,1402937910,KZPS1500
Dirty Deeds Done Dirt Cheap,AC/DC,WAXQ,1403294284,WAXQ0467
Dirty Deeds Done Dirt Cheap,AC/DC,WAXQ,1403197101,WAXQ0759
Dirty Deeds Done Dirt Cheap,AC/DC,WAXQ,1403139486,WAXQ0921
Dirty Deeds Done Dirt Cheap,AC/DC,WAXQ,1402959500,WAXQ1374
Dirty Deeds Done Dirt Cheap,AC/DC,WBGG,1403481501,WBGG0010
Dirty Deeds Done Dirt Cheap,AC/DC,WBGG,1403049491,WBGG1199
Dirty Deeds Done Dirt Cheap,AC/DC,WBIG,1403481498,WBIG0002
Dirty Deeds Done Dirt Cheap,AC/DC,WBIG,1403218709,WBIG0746
Dirty Deeds Done Dirt Cheap,AC/DC,WDVE,1403459906,WDVE0044
Dirty Deeds Done Dirt Cheap,AC/DC,WDVE,1403272717,WDVE0479
Dirty Deeds Done Dirt Cheap,AC/DC,WDVE,1403207919,WDVE0642
Dirty Deeds Done Dirt Cheap,AC/DC,WDVE,1402959517,WDVE1166
Dirty Deeds Done Dirt Cheap,AC/DC,WLUP,1403474341,WLUP0029
Dirty Deeds Done Dirt Cheap,AC/DC,WLUP,1403283536,WLUP0616
Dirty Deeds Done Dirt Cheap,AC/DC,WLUP,1403157547,WLUP0974
Dirty Deeds Done Dirt Cheap,AC/DC,WLUP,1403053131,WLUP1284
Dirty Deeds Done Dirt Cheap,AC/DC,WLUP,1402901943,WLUP1622
Dirty Deeds Done Dirt Cheap,AC/DC,WMGK,1403481261,WMGK0069
Dirty Deeds Done Dirt Cheap,AC/DC,WMGK,1403394849,WMGK0320
Dirty Deeds Done Dirt Cheap,AC/DC,WMGK,1403222070,WMGK0696
Dirty Deeds Done Dirt Cheap,AC/DC,WMGK,1403049251,WMGK1313
Dirty Deeds Done Dirt Cheap,AC/DC,WNCX,1403222081,WNCX0606
Dirty Deeds Done Dirt Cheap,AC/DC,WNCX,1403135658,WNCX0768
Dirty Deeds Done Dirt Cheap,AC/DC,WNCX,1402962869,WNCX1087
Dirty Deeds Done Dirt Cheap,AC/DC,WOFX,1403229534,WOFX0638
Dirty Deeds Done Dirt Cheap,AC/DC,WRFX,1403279916,WRFX0467
Dirty Deeds Done Dirt Cheap,AC/DC,WRFX,1403139506,WRFX0833
Dirty Deeds Done Dirt Cheap,AC/DC,WRFX,1403096318,WRFX0949
Dirty Deeds Done Dirt Cheap,AC/DC,WRFX,1402927129,WRFX1307
Dirty Deeds Done Dirt Cheap,AC/DC,WXGL,1403378904,WXGL0321
Dirty Deeds Done Dirt Cheap,AC/DC,WXGL,1403240315,WXGL0754
Dirty Deeds Done Dirt Cheap,AC/DC,WXGL,1403175519,WXGL0967
Dirty Deeds Done Dirt Cheap,AC/DC,WXGL,1403056714,WXGL1349
Dirty Deeds Done Dirt Cheap,AC/DC,WXGL,1402957702,WXGL1556
Dirty Deeds Done Dirt Cheap,AC/DC,WZLX,1403222074,WZLX0417
Dirty Deeds Done Dirt Cheap,AC/DC,WZLX,1403049258,WZLX0955
Dirty Deeds Done Dirt Cheap,AC/DC,WZLX,1402962864,WZLX1060
For Those About To Rock,AC/DC,KGLK,1403472505,KGLK0030
For Those About To Rock,AC/DC,KGLK,1403341137,KGLK0439
For Those About To Rock,AC/DC,KGLK,1403143130,KGLK1036
For Those About To Rock,AC/DC,KRFX,1403438301,KRFX0113
For Those About To Rock,AC/DC,KRFX,1403319520,KRFX0450
For Those About To Rock,AC/DC,KRFX,1403251111,KRFX0626
