name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Jon Tester,Senate, D, MT,NA,0.405,0.204,0.9059999999999999,-0.501
David G. Valadao,House, R, CA,21,1.0,-0.155,0.29600000000000004,0.7040000000000001
Carlos Curbelo,House, R, FL,26,0.935,-0.161,0.284,0.652
Erik Paulsen,House, R, MN,3,1.0,-0.094,0.428,0.5720000000000001
Barbara Comstock,House, R, VA,10,0.97,-0.1,0.413,0.556
Darrell E. Issa,House, R, CA,49,1.0,-0.075,0.478,0.522
Edward R. Royce,House, R, CA,39,0.97,-0.086,0.449,0.521
Ileana Ros-Lehtinen,House, R, FL,27,0.75,-0.19699999999999998,0.239,0.511
Stephen Knight,House, R, CA,25,1.0,-0.067,0.5,0.5
Mike Coffman,House, R, CO,6,0.9390000000000001,-0.08900000000000001,0.441,0.498
Peter J. Roskam,House, R, IL,6,0.97,-0.07,0.49200000000000005,0.478
Mimi Walters,House, R, CA,45,1.0,-0.054000000000000006,0.536,0.46399999999999997
Henry Cuellar,House, D, TX,28,0.6970000000000001,-0.198,0.23399999999999999,0.46299999999999997
Martha McSally,House, R, AZ,2,1.0,-0.049,0.55,0.45
Jeff Denham,House, R, CA,10,1.0,-0.03,0.604,0.396
Will Hurd,House, R, TX,23,0.97,-0.034,0.593,0.377
Pete Sessions,House, R, TX,32,1.0,-0.019,0.631,0.369
John Abney Culberson,House, R, TX,7,1.0,-0.013999999999999999,0.649,0.35100000000000003
John Katko,House, R, NY,24,0.909,-0.036000000000000004,0.5870000000000001,0.322
Kevin Yoder,House, R, KS,3,0.97,-0.012,0.654,0.316
Dana Rohrabacher,House, R, CA,48,0.9390000000000001,-0.017,0.64,0.299
Rodney P. Frelinghuysen,House, R, NJ,11,1.0,0.009000000000000001,0.71,0.29
Leonard Lance,House, R, NJ,7,0.9390000000000001,-0.011000000000000001,0.657,0.28300000000000003
David G. Reichert,House, R, WA,8,0.875,-0.03,0.607,0.268
Ryan A. Costello,House, R, PA,6,0.938,-0.006,0.6729999999999999,0.265
Don Bacon,House, R, NE,2,1.0,0.022000000000000002,0.742,0.258
Patrick Meehan,House, R, PA,7,0.879,-0.023,0.624,0.255
Jason Lewis,House, R, MN,2,0.9690000000000001,0.012,0.7170000000000001,0.252
Paul D. Ryan*,House, R, WI,1,1.0,0.10300000000000001,0.754,0.24600000000000002
Mario Diaz-Balart,House, R, FL,25,0.97,0.017,0.73,0.24
Scott Taylor,House, R, VA,2,1.0,0.034,0.773,0.22699999999999998
David Young,House, R, IA,3,1.0,0.035,0.773,0.22699999999999998
Jim Costa,House, D, CA,16,0.452,-0.21600000000000003,0.225,0.22699999999999998
Kyrsten Sinema,House, D, AZ,9,0.484,-0.163,0.265,0.21899999999999997
David A. Trott,House, R, MI,11,1.0,0.044000000000000004,0.7929999999999999,0.207
Rod Blum,House, R, IA,1,0.97,0.035,0.773,0.19699999999999998
Randy Hultgren,House, R, IL,14,0.97,0.039,0.782,0.188
Rob Woodall,House, R, GA,7,1.0,0.063,0.83,0.17
Mike Bishop,House, R, MI,8,1.0,0.067,0.838,0.162
Lloyd Smucker,House, R, PA,16,1.0,0.068,0.8390000000000001,0.161
Rodney Davis,House, R, IL,13,0.97,0.055,0.815,0.155
Kenny Marchant,House, R, TX,24,0.97,0.062,0.828,0.141
Dave Brat,House, R, VA,7,0.9690000000000001,0.065,0.831,0.138
Fred Upton,House, R, MI,6,1.0,0.084,0.866,0.134
Steve Chabot,House, R, OH,1,0.97,0.066,0.836,0.134
Mia B. Love,House, R, UT,4,0.97,0.067,0.838,0.132
Michael T. McCaul,House, R, TX,10,1.0,0.091,0.877,0.12300000000000001
Michael R. Turner,House, R, OH,10,0.97,0.073,0.848,0.122
Devin Nunes,House, R, CA,22,1.0,0.095,0.883,0.11699999999999999
Pete Olson,House, R, TX,22,0.9690000000000001,0.079,0.856,0.113
Dennis A. Ross,House, R, FL,15,1.0,0.1,0.889,0.111
Thomas MacArthur,House, R, NJ,3,0.9390000000000001,0.062,0.828,0.111
Vern Buchanan,House, R, FL,16,1.0,0.107,0.8959999999999999,0.10400000000000001
J. Luis Correa,House, D, CA,46,0.242,-0.384,0.141,0.10099999999999999
J. French Hill,House, R, AR,2,1.0,0.107,0.902,0.098
Brian K. Fitzpatrick,House, R, PA,8,0.7879999999999999,0.002,0.6920000000000001,0.096
Patrick J. Tiberi,House, R, OH,12,1.0,0.113,0.905,0.095
Brian J. Mast,House, R, FL,18,0.97,0.092,0.878,0.092
Susan W. Brooks,House, R, IN,5,1.0,0.11800000000000001,0.9109999999999999,0.08900000000000001
Ted Budd,House, R, NC,13,0.97,0.094,0.8809999999999999,0.08900000000000001
Ted Poe,House, R, TX,2,0.9670000000000001,0.09300000000000001,0.878,0.08800000000000001
Gene Green,House, D, TX,29,0.226,-0.457,0.13699999999999998,0.08800000000000001
Ken Calvert,House, R, CA,42,1.0,0.12,0.9129999999999999,0.087
George Holding,House, R, NC,2,0.97,0.096,0.884,0.086
Mark E. Amodei,House, R, NV,2,1.0,0.12300000000000001,0.915,0.085
Jimmy Panetta,House, D, CA,20,0.212,-0.47200000000000003,0.129,0.083
David Schweikert,House, R, AZ,6,0.97,0.1,0.889,0.081
Lamar Smith,House, R, TX,21,0.97,0.1,0.889,0.081
John R. Carter,House, R, TX,31,1.0,0.127,0.92,0.08
Robert Pittenger,House, R, NC,9,1.0,0.11599999999999999,0.922,0.078
Ann Wagner,House, R, MO,2,0.97,0.10300000000000001,0.893,0.077
Cathy McMorris Rodgers,House, R, WA,5,1.0,0.131,0.924,0.076
Beto O'Rourke,House, D, TX,16,0.212,-0.40700000000000003,0.138,0.075
Bruce Poliquin,House, R, ME,2,0.9690000000000001,0.10300000000000001,0.9,0.069
Albio Sires,House, D, NJ,8,0.2,-0.542,0.134,0.066
Tom Reed,House, R, NY,23,1.0,0.14800000000000002,0.938,0.062
Mike Bost,House, R, IL,12,1.0,0.14800000000000002,0.938,0.062
John J. Faso,House, R, NY,19,0.909,0.073,0.848,0.061
Paul Cook,House, R, CA,8,1.0,0.151,0.94,0.06
Peter T. King,House, R, NY,2,0.935,0.091,0.875,0.06
"Earl L. ""Buddy"" Carter",House, R, GA,1,1.0,0.155,0.94,0.06
Jaime Herrera Beutler,House, R, WA,3,0.909,0.07400000000000001,0.85,0.059000000000000004
Anna G. Eshoo,House, D, CA,18,0.182,-0.532,0.12300000000000001,0.059000000000000004
Andy Barr,House, R, KY,6,1.0,0.153,0.941,0.059000000000000004
Steve Stivers,House, R, OH,15,1.0,0.154,0.9420000000000001,0.057999999999999996
Claudia Tenney,House, R, NY,22,1.0,0.155,0.943,0.057
Scott R. Tipton,House, R, CO,3,0.97,0.12,0.9129999999999999,0.057
